브랜드명,지점명,시도명,시군구명,주소
엔제리너스,울산삼산D/I점,울산광역시,남구,울산광역시 남구 화합로 194
엔제리너스,울산롯데후문점,울산광역시,남구,울산광역시 남구 삼산중로48번길 13
엔제리너스,롯데시네울산점,울산광역시,남구,울산광역시 남구 삼산로 282 롯데호텔
엔제리너스,부산개금점,부산광역시,부산진구,부산광역시 부산진구 복지로 70 개금현대I아파트
엔제리너스,부산개금대도빌딩점,부산광역시,부산진구,부산광역시 부산진구 가야대로 494 대도빌딩
엔제리너스,울산명촌,울산광역시,북구,울산광역시 북구 명촌로 41 솟대
엔제리너스,롯데백부산식당가점,부산광역시,부산진구,부산광역시 부산진구 가야대로 772
엔제리너스,부산아이온시티점,부산광역시,부산진구,부산광역시 부산진구 서면로 74 아이온시티빌딩
엔제리너스,부산온천천점,부산광역시,동래구,부산광역시 동래구 온천천로 361 대방빌딩
엔제리너스,서면일번가점,부산광역시,부산진구,부산광역시 부산진구 서면로 40 청양빌딩
엔제리너스,부산서면점,부산광역시,부산진구,부산광역시 부산진구 중앙대로692번길 16 CGV대한
엔제리너스,부산동의의료원점,부산광역시,부산진구,"부산광역시 부산진구 양정로 62 동의의료원, 동의병원, 동의대학교한방병원"
엔제리너스,부산역광장2호점,부산광역시,동구,부산광역시 동구 중앙대로214번길 3-2
엔제리너스,부산극장점,부산광역시,중구,부산광역시 중구 비프광장로 36
엔제리너스,부산문현점,부산광역시,남구,부산광역시 남구 수영로 46-1
엔제리너스,부산재송점,부산광역시,해운대구,부산광역시 해운대구 재반로 116
엔제리너스,부산남천비치점,부산광역시,수영구,부산광역시 수영구 광안해변로 29-1
엔제리너스,부산기장점,부산광역시,기장군,부산광역시 기장군 차성동로 110 엔제리너스 기장점
엔제리너스,해운대마린시티점,부산광역시,해운대구,"부산광역시 해운대구 마린시티3로 51, 201호"
엔제리너스,영도동삼점,부산광역시,영도구,부산광역시 영도구 동삼동 363-16
엔제리너스,울산방어진점,울산광역시,동구,울산광역시 동구 상진길 111
엔제리너스,해운대백병원점,부산광역시,해운대구,부산광역시 해운대구 해운대로 875
엔제리너스,부산송정점,부산광역시,해운대구,부산광역시 해운대구 송정해로  50
엔제리너스,롯데아울렛동부산1층점,부산광역시,기장군,부산광역시 기장군 기장읍 당사리 64 1F
엔제리너스,롯데아울렛동부산3층점,부산광역시,기장군,부산광역시 기장군 기장읍 당사리 64 3F
엔제리너스,롯데시네삼화점,제주특별자치도,제주시,제주특별자치도 제주시 삼봉로 12
엔제리너스,주공항2호점,제주특별자치도,제주시,제주특별자치도 제주시 공항로 2
엔제리너스,주공항T/O점,제주특별자치도,제주시,제주특별자치도 제주시 공항로 2
엔제리너스,주공항1층점,제주특별자치도,제주시,제주특별자치도 제주시 공항로
엔제리너스,주이호테우해변로점,제주특별자치도,제주시,제주특별자치도 제주시 서해안로 24
엔제리너스,주연북로점,제주특별자치도,제주시,제주특별자치도 제주시 연북로 514
엔제리너스,한라수목원점,제주특별자치도,제주시,제주특별자치도 제주시 수목원길 65-6
엔제리너스,천지연폭포점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남성중로 2-3
