date,team,1,2,3,4,5,6,7,8,9,선발투수
2022-04-28,롯데,정훈,피터스,한동희,이대호,안치홍,고승민,지시완,조세진,이학주,반즈
2022-04-28,LG,박해민,문성주,홍창기,김현수,채은성,유강남,오지환,김민성,서건창,켈리
2022-04-28,삼성,김지찬,구자욱,피렐라,오재일,강민호,송준석,김성윤,이재현,강한울,백정현
2022-04-28,KIA,소크라테스,김선빈,나성범,최형우,황대인,김석환,최정용,김민식,김도영,임기영
2022-04-28,KT,김민혁,황재균,조용호,박병호,장성우,배정대,오윤석,홍현빈,심우준,배제성
2022-04-28,키움,이용규,박찬혁,이정후,푸이그,김혜성,송성문,전병우,신준우,이지영,애플러
2022-04-28,한화,정은원,최재훈,터크먼,노시환,김태연,하주석,이성곤,노수광,이도윤,장민재
2022-04-29,롯데,정훈,피터스,한동희,이대호,안치홍,김민수,지시완,조세진,신용수,스파크맨
2022-04-29,LG,박해민,문성주,홍창기,김현수,채은성,유강남,이영빈,루이즈,서건창,임준형
2022-04-29,두산,김인태,정수빈,페르난데스,김재환,허경민,박세혁,강승호,안재석,안권수,최승용
2022-04-29,SSG,김강민,최지훈,최정,한유섬,크론,박성한,오태곤,김성현,이흥련,노바
2022-04-29,한화,정은원,최재훈,터크먼,노시환,김태연,하주석,이진영,이성곤,박정현,남지민
2022-04-29,NC,손아섭,전민수,박건우,양의지,마티니,노진혁,박준영,오영수,도태훈,송명기
2022-04-29,삼성,구자욱,피렐라,오재일,강민호,김태군,이원석,김성윤,이재현,김지찬,황동재
2022-04-29,KIA,류지혁,김선빈,최형우,나성범,박동원,황대인,소크라테스,김석환,김도영,이의리
2022-04-29,KT,김민혁,황재균,오윤석,박병호,장성우,조용호,김병희,홍현빈,심우준,엄상백
2022-04-29,키움,이용규,박찬혁,이정후,푸이그,김혜성,송성문,이주형,김주형,이지영,최원태
2022-04-30,삼성,구자욱,피렐라,오재일,강민호,이원석,강한울,김성윤,이재현,김지찬,원태인
2022-04-30,KIA,류지혁,김선빈,나성범,박동원,최형우,황대인,소크라테스,김민식,김도영,한승혁
2022-04-30,롯데,안치홍,김민수,한동희,전준우,이대호,피터스,지시완,조세진,이학주,이인복
2022-04-30,LG,박해민,문성주,홍창기,김현수,채은성,오지환,서건창,루이즈,허도환,김윤식
2022-04-30,두산,김인태,강승호,페르난데스,김재환,허경민,강진성,장승현,김재호,정수빈,곽빈
2022-04-30,SSG,최지훈,최주환,최정,한유섬,크론,박성한,최항,오태곤,이현석,오원석
2022-04-30,한화,정은원,최재훈,터크먼,노시환,하주석,이성곤,노수광,임종찬,이도윤,김민우
2022-04-30,NC,손아섭,박준영,박건우,양의지,마티니,노진혁,오영수,도태훈,박대온,이재학
2022-04-30,KT,김민혁,황재균,오윤석,박병호,장성우,조용호,김병희,홍현빈,심우준,고영표
2022-04-30,키움,이용규,박찬혁,이정후,푸이그,김혜성,송성문,전병우,김주형,이지영,정찬헌
2022-05-01,롯데,안치홍,이학주,한동희,전준우,정훈,피터스,고승민,정보근,박승욱,김진욱
2022-05-01,LG,홍창기,문성주,김현수,채은성,유강남,오지환,이상호,김민성,박해민,임찬규
2022-05-01,두산,김인태,안권수,페르난데스,김재환,허경민,강승호,안재석,박세혁,조수행,스탁
2022-05-01,SSG,최지훈,최주환,최정,한유섬,크론,박성한,김강민,오태곤,이흥련,폰트
2022-05-01,한화,정은원,최재훈,터크먼,노시환,김태연,이성곤,노수광,임종찬,이도윤,박윤철
2022-05-01,NC,손아섭,전민수,박건우,마티니,노진혁,박준영,오영수,박대온,도태훈,루친스키
2022-05-01,삼성,김지찬,피렐라,이원석,강민호,오재일,최영진,김성윤,이재현,김현준,뷰캐넌
2022-05-01,KIA,류지혁,김선빈,나성범,박동원,최형우,황대인,소크라테스,김석환,김도영,양현종
2022-05-01,KT,조용호,김민혁,황재균,박병호,오윤석,배정대,홍현빈,김준태,권동진,데스파이네
2022-05-01,키움,이용규,박찬혁,이정후,푸이그,김혜성,송성문,전병우,김주형,이지영,안우진
2022-05-03,두산,안권수,조수행,페르난데스,김재환,허경민,강승호,안재석,박세혁,정수빈,최원준
