순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
392,이상민,22삼P, -0.042 , 46 ,0.0,29.1, 6 , 2 ,3.0,1.0, .833 , 1.53 ,-0.29,0.0, 0.00 , 0.01 ,-0.13,-0.4, -16.41 , 0.00 ,-0.4,-0.042
393,류진욱,22NP, -0.042 , 51 ,0.0,46.1, 9 , 2 ,5.0,2.0, .778 , 1.36 ,-0.01,0.0, 0.00 , -0.11 ,-0.28,-0.4, -10.43 , 0.00 ,-0.4,-0.042
394,남지민,22한P, -0.042 , 22 ,20.0,89.0, 20 , 7 ,10.0,3.0, .850 , 1.72 ,-0.07,0.0, 0.00 , 0.04 ,-0.38,-0.41, -5.48 , 0.00 ,-0.41,-0.042
395,장현식,22KP, -0.042 , 54 ,0.0,52.0, 12 , 4 ,7.0,1.0, .917 , 1.90 ,-0.36,0.0, 0.00 , 0.03 ,-0.07,-0.41, -9.38 , 0.00 ,-0.41,-0.042
396,조민석,22NP, -0.042 , 18 ,0.0,16.0, 7 , 2 ,5.0,0.0, 1.000 , 3.94 ,-0.46,0.0, 0.00 , 0.01 ,0.04,-0.41, -30.57 , 0.00 ,-0.41,-0.042
397,허윤동,22삼P, -0.043 , 12 ,12.0,55.0, 4 , 0 ,4.0,0.0, 1.000 , 0.66 ,-0.58,0.0, 0.00 , 0.03 ,0.14,-0.41, -8.99 , 0.00 ,-0.41,-0.043
398,김민,22KP, -0.043 , 6 ,0.0,7.2, 0 , 0 ,0.0,0.0,  , 0.00 ,-0.44,0.0, 0.00 , 0.00 ,0.02,-0.42, -64.91 , 0.00 ,-0.42,-0.043
399,조민성,22삼1B, -0.044 , 12 ,4.0,40.0, 36 , 33 ,2.0,1.0, .972 , 7.88 ,0.0,0.01, 0.00 , 0.00 ,-0.13,-0.12, -3.65 , -0.30 ,-0.43,-0.013
400,장운호,22한RF, -0.045 , 55 ,35.0,337.0, 75 , 73 ,0.0,2.0, .973 , 1.95 ,2.18,-0.83, 0.00 , 0.00 ,-0.15,1.21, 4.28 , -1.64 ,-0.43,0.126
401,전진영,22KRF, -0.046 , 2 ,0.0,2.0, 0 , 0 ,0.0,0.0,  , 0.00 ,-0.31,-0.13, 0.00 , 0.00 ,0.0,-0.44, -260.50 , -0.01 ,-0.45,-0.045
