팀,이름,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
LG,문성주,2.35,137,479,406,66,117,16,3,7,160,51,10,7,58,5,2,51,14,8,0.531,0.704,0.7,1.4049999999999998,0.661,201.3,2.35,-0.20000000000000007
LG,박용택,0.39,97,236,217,22,65,15,0,2,86,35,2,0,15,0,1,34,7,0,0.3,0.339,0.396,0.735,0.335,97.2,0.39,0.08
LG,박해민,3.45,144,636,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,0.289,0.347,0.368,0.715,0.331,103.9,3.45,0.6
LG,백승현,-0.09,27,39,28,5,7,1,0,0,8,2,0,0,4,1,0,8,0,6,0.25,0.364,0.286,0.649,0.273,54.4,-0.09,-0.17
LG,보어,-0.43,32,117,100,7,17,2,0,3,28,17,0,0,11,3,0,30,2,0,0.17,0.265,0.28,0.545,0.263,52.8,-0.43,-0.23
LG,서건창,1.04,145,514,454,72,107,22,2,4,145,42,14,3,44,7,0,78,10,7,0.471,0.622,0.638,1.26,0.595,155.5,1.04,-2.04
LG,손호영,0.6,58,113,104,22,30,2,2,3,45,17,5,3,7,0,0,20,4,1,0.624,0.696,0.865,1.561,0.71,232.0,0.6,-0.31000000000000005
LG,송찬의,0.25,33,78,72,8,17,4,0,3,30,10,2,1,2,3,0,24,0,0,0.236,0.282,0.417,0.699,0.316,100.2,0.25,-0.65
LG,신민재,0.2,68,32,26,26,8,1,0,0,9,5,8,2,4,0,0,4,1,2,0.308,0.4,0.346,0.746,0.338,97.2,0.2,-0.13
LG,양석환,0.18,40,132,118,8,29,5,0,3,43,13,0,0,10,2,0,25,1,2,0.246,0.315,0.364,0.68,0.31,82.6,0.18,-0.75
LG,오지환,12.51,417,1692,1485,232,409,76,13,43,640,215,52,21,161,21,3,305,26,12,0.823,1.054,1.287,2.3409999999999997,1.067,352.4,12.51,3.24
