팀,이름,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
한화,이시원,0.163,28,20,237.29999999999998,80,78,1,1,1.982,5.8100000000000005,2.04,-0.09,1.46,8.14,0.12,1.5699999999999998,0.151
한화,이용규,-0.89,3,106,878.1,245,242,0,3,0.988,2.48,-4.68,-0.17,-10.55,-14.38,1.03,-9.52,-0.987
한화,이원석,-0.439,55,39,386.0,96,93,1,2,1.942,4.390000000000001,-2.63,-0.2,-4.75,-35.9,0.47,-4.29,-0.487
한화,이진영,-0.537,65,55,486.1,91,87,2,2,0.978,1.65,-0.92,-0.02,-2.75,-6.77,-2.4,-5.15,-0.286
한화,이해창,0.272,22,49,447.0,405,363,37,5,1.978,15.950000000000001,0.18000000000000002,-0.36,-1.1700000000000002,-5.08,3.96,2.78,-0.11199999999999999
한화,임종찬,-0.8380000000000001,59,87,733.1,162,155,5,2,2.949,5.78,-3.89,0.09000000000000001,-4.71,-11.280000000000001,-3.76,-8.49,-0.46299999999999997
한화,장민재,0.07100000000000001,34,35,183.3,45,16,25,4,1.738,3.7700000000000005,1.19,-0.37,0.65,3.130000000000001,0.0,0.65,0.07100000000000001
한화,장시환,0.019000000000000003,85,42,264.4,49,13,33,3,2.806,4.63,0.029999999999999805,-0.04000000000000001,0.13000000000000012,5.560000000000002,0.0,0.13000000000000012,0.019000000000000003
한화,장운호,-0.549,153,118,1121.1,282,275,5,2,2.973,6.19,-1.3599999999999994,0.29000000000000004,-1.1199999999999999,-48.58,-4.52,-5.63,-0.091
한화,장지승,-0.258,21,18,146.0,33,32,0,1,0.97,1.97,0.15,-0.11,-1.82,-14.92,-0.75,-2.57,-0.183
한화,장진혁,0.11599999999999999,40,38,358.0,91,82,5,4,1.944,4.359999999999999,0.5699999999999998,-0.5299999999999999,2.6,10.97,-1.52,1.08,0.273
한화,정기훈,-0.125,1,6,66.2,22,10,10,2,0.909,2.7,-1.24,-0.22,-1.46,-26.26,0.14,-1.33,-0.138
한화,정민규,-0.087,8,7,58.0,46,39,6,1,0.978,6.98,-0.26,-0.09,-0.35,-7.23,-0.47,-0.82,-0.037
한화,정우람,0.028,2,0,54.1,12,2,10,0,1.0,1.99,0.15,0.11,0.29,6.48,0.0,0.29,0.028
한화,정은원,0.3680000000000001,241,310,2636.4,1369,602,733,34,2.932,13.68,-0.6500000000000004,-0.030000000000000027,-0.6899999999999995,-1.6800000000000015,4.63,3.9399999999999995,-0.08999999999999997
한화,정진호,0.31,44,107,927.2,247,236,8,3,1.97,4.75,5.84,-0.11000000000000001,7.54,26.459999999999997,-4.59,2.95,0.756
한화,조한민,-0.184,48,53,419.4,173,112,52,9,1.873,7.11,0.3599999999999999,-0.99,-1.7200000000000002,-23.009999999999998,-0.22999999999999998,-1.96,-0.156
한화,주현상,0.123,92,0,105.2,25,6,18,1,1.923,4.1,1.12,0.030000000000000013,1.2,26.5,0.0,1.2,0.123
한화,채드벨,-0.016,2,16,77.0,15,5,10,0,1.0,1.75,-0.38,0.15,-0.17,-2.71,0.0,-0.17,-0.016
한화,최인호,-0.231,45,74,601.4,149,144,5,0,2.0,4.49,-0.53,0.32,0.8300000000000001,3.37,-3.17,-2.35,0.08099999999999999
한화,최재훈,2.497,215,304,2554.4,2271,2075,187,9,2.989,23.9,-0.8,1.92,3.11,4.3999999999999995,22.16,25.27,0.31
한화,최진행,-0.296,1,19,146.0,33,32,0,1,0.97,1.97,-1.22,-0.12,-2.33,-19.14,-0.79,-3.13,-0.221
한화,카펜터,-0.128,31,30,170.0,25,6,16,3,0.88,1.17,-1.08,-0.28,-1.29,-9.11,0.0,-1.29,-0.128
한화,킹엄,-0.06,25,24,144.0,29,13,15,1,0.966,1.75,-0.74,0.07,-0.61,-5.04,0.0,-0.61,-0.06
한화,터크먼,-0.44,136,135,1163.2,387,373,9,5,0.987,2.95,-4.45,-0.24,-5.87,-6.04,1.55,-4.31,-0.598
한화,페냐,-0.081,13,13,67.2,13,2,9,2,0.846,1.46,-0.59,-0.23,-0.79,-13.9,0.0,-0.79,-0.081
한화,페레즈,-0.072,53,54,465.0,273,200,63,10,0.963,5.09,2.43,-1.01,0.91,2.34,-1.63,-0.72,0.091
한화,하주석,2.015,222,282,2381.2,1053,357,654,42,2.8819999999999997,11.469999999999999,7.0,0.4,7.4,6.300000000000001,12.24,19.63,0.7909999999999999
한화,허관회,-0.037,17,9,94.0,78,74,3,1,0.987,7.37,-0.17,-0.06,-1.17,-14.88,0.8,-0.37,-0.117
한화,호잉,-0.298,2,33,278.0,73,71,2,0,1.0,2.36,-1.57,0.17,-1.62,-6.98,-1.49,-3.11,-0.155
한화,힐리,0.157,61,60,527.0,525,478,42,5,0.991,8.88,6.07,-0.01,6.06,13.76,-4.5,1.56,0.608
