순위,이름,팀,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
157,김민식,23SC, -0.06 , 20 , 45 , 39 , 3 , 8 , 1 , 0 , 0 , 9 , 3 , 0 , 0 , 3 , 0 , 0 , 10 , 1 , 3 , 0 , .205 , .262 , .231 , .493 , .230 , 32.2 , -0.06 , -0.51 
158,문상철,23KDH, -0.07 , 14 , 32 , 28 , 2 , 7 , 1 , 0 , 1 , 11 , 6 , 0 , 0 , 2 , 0 , 0 , 4 , 0 , 0 , 2 , .250 , .281 , .393 , .674 , .308 , 83.4 , -0.07 , -0.32 
159,김인환,23한DH, -0.07 , 16 , 43 , 39 , 4 , 8 , 0 , 0 , 1 , 11 , 1 , 1 , 0 , 4 , 0 , 0 , 13 , 2 , 0 , 0 , .205 , .279 , .282 , .561 , .277 , 62.2 , -0.07 , -0.40 
160,김준완,23키RF, -0.07 , 11 , 16 , 14 , 0 , 3 , 0 , 0 , 0 , 3 , 2 , 0 , 0 , 1 , 0 , 0 , 2 , 1 , 0 , 1 , .214 , .250 , .214 , .464 , .228 , 32.4 , -0.07 , -0.33 
161,김주성,23LSS, -0.07 , 4 , 3 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , .000 , .333 , .000 , .333 , .256 , 49.7 , -0.07 , -0.00 
162,류현인,23K3B, -0.07 , 12 , 18 , 17 , 5 , 3 , 0 , 0 , 0 , 3 , 3 , 0 , 0 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , .176 , .222 , .176 , .399 , .202 , 11.5 , -0.07 , -0.27 
163,오태양,23NCF, -0.07 , 14 , 3 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 2 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 ,  , -0.07 , -0.07 
164,장진혁,23한RF, -0.07 , 2 , 7 , 6 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , .167 , .286 , .167 , .452 , .244 , 40.7 , -0.07 , -0.12 
165,조민성,23삼DH, -0.08 , 3 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , -0.08 , -0.07 
166,유상빈,23한DH, -0.08 , 3 , 8 , 6 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , .000 , .250 , .000 , .250 , .188 , 2.1 , -0.08 , -0.11 
167,정준영,23KCF, -0.08 , 9 , 14 , 13 , 1 , 3 , 0 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 1 , 0 , .231 , .231 , .231 , .462 , .208 , 14.4 , -0.08 , 0.08 
168,이성곤,23한DH, -0.08 , 5 , 11 , 9 , 2 , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 0 , 1 , 0 , .222 , .300 , .222 , .522 , .243 , 40.6 , -0.08 , 0.10 
169,오윤석,23K2B, -0.09 , 11 , 24 , 23 , 2 , 4 , 0 , 0 , 1 , 7 , 3 , 0 , 0 , 1 , 0 , 0 , 5 , 0 , 0 , 0 , .174 , .208 , .304 , .513 , .242 , 40.6 , -0.09 , -0.52 
