순위,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
26,장현식,21K, 2.93 , 69 , 0 , 0 , 0 , 1 , 5 , 1 , 34 , 76.2 , 28 , 28 , 336 , 67 , 7 , 1 , 7 , 42 , 1 , 3 , 80 , 0 , 8 , 3.29 , 4.15 , 1.42 , 135.3 , 107.3 , 1.98 
27,홍건희,21두, 2.92 , 65 , 0 , 0 , 0 , 6 , 6 , 3 , 17 , 74.1 , 23 , 23 , 303 , 65 , 11 , 0 , 3 , 27 , 0 , 0 , 82 , 1 , 7 , 2.78 , 2.74 , 1.24 , 154.9 , 158.9 , 0.60 
28,김택형,21S, 2.83 , 59 , 0 , 0 , 0 , 5 , 1 , 7 , 4 , 75.1 , 23 , 20 , 316 , 61 , 11 , 0 , 3 , 42 , 5 , 3 , 62 , 0 , 3 , 2.39 , 3.80 , 1.37 , 187.8 , 118.9 , 2.25 
29,신민혁,21N, 2.65 , 30 , 0 , 0 , 25 , 9 , 6 , 0 , 0 , 145.0 , 75 , 71 , 625 , 155 , 28 , 3 , 17 , 44 , 0 , 5 , 107 , 2 , 2 , 4.41 , 4.40 , 1.37 , 103.0 , 102.9 , 0.11 
30,배제성,21K, 2.55 , 26 , 0 , 0 , 26 , 9 , 10 , 0 , 0 , 141.2 , 67 , 58 , 621 , 126 , 27 , 1 , 6 , 82 , 1 , 1 , 136 , 0 , 9 , 3.68 , 3.70 , 1.47 , 121.9 , 120.3 , 0.35 
31,김강률,21두, 2.49 , 50 , 0 , 0 , 0 , 3 , 0 , 21 , 3 , 51.2 , 15 , 12 , 230 , 54 , 7 , 2 , 2 , 25 , 4 , 1 , 41 , 0 , 4 , 2.09 , 3.53 , 1.53 , 206.4 , 124.0 , 1.80 
32,안우진,21키, 2.45 , 21 , 0 , 0 , 21 , 7 , 8 , 0 , 0 , 107.2 , 47 , 39 , 450 , 88 , 15 , 1 , 13 , 41 , 1 , 7 , 110 , 1 , 5 , 3.26 , 4.17 , 1.20 , 136.0 , 102.7 , 0.55 
33,이의리,21K, 2.35 , 19 , 0 , 0 , 19 , 4 , 5 , 0 , 0 , 94.2 , 42 , 38 , 404 , 69 , 11 , 0 , 6 , 56 , 0 , 2 , 93 , 0 , 5 , 3.61 , 4.03 , 1.32 , 123.1 , 111.0 , 0.31 
34,김원중,21롯, 2.26 , 61 , 0 , 0 , 0 , 4 , 4 , 35 , 0 , 62.2 , 26 , 25 , 268 , 50 , 8 , 0 , 6 , 28 , 4 , 3 , 64 , 0 , 8 , 3.59 , 3.83 , 1.25 , 126.6 , 116.5 , 2.20 
35,김대유,21L, 2.09 , 64 , 0 , 0 , 0 , 4 , 1 , 0 , 24 , 50.2 , 13 , 12 , 209 , 32 , 1 , 0 , 2 , 15 , 0 , 9 , 56 , 0 , 2 , 2.13 , 3.06 , 0.93 , 202.4 , 142.4 , 1.85 
36,브룩스,21K, 2.06 , 13 , 0 , 0 , 13 , 3 , 5 , 0 , 0 , 78.0 , 34 , 29 , 333 , 93 , 12 , 1 , 4 , 16 , 0 , 1 , 55 , 0 , 0 , 3.35 , 3.24 , 1.40 , 132.9 , 137.5 , 0.54 
37,카펜터,21한, 2.01 , 31 , 0 , 0 , 30 , 5 , 12 , 0 , 0 , 170.0 , 90 , 75 , 746 , 150 , 21 , 3 , 16 , 72 , 0 , 19 , 179 , 1 , 7 , 3.97 , 4.06 , 1.31 , 110.3 , 109.7 , 0.53 
38,임기영,21K, 1.98 , 28 , 0 , 0 , 28 , 8 , 8 , 0 , 0 , 153.0 , 85 , 83 , 662 , 155 , 29 , 1 , 15 , 45 , 0 , 11 , 129 , 2 , 6 , 4.88 , 4.02 , 1.31 , 91.1 , 110.6 , -0.13 
