팀,이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WPA
롯데,진승현,-0.22,10,0,0,0,0,0,0,0,9.0,9,9,48,12,2,0,2,7,0,1,11,0,1,0.11
롯데,최건,-0.39,5,0,0,0,0,0,0,0,2.1,8,6,20,7,3,0,0,6,0,0,3,0,0,-0.24
롯데,최영환,-0.5800000000000001,27,0,0,9,1,4,0,0,52.400000000000006,47,41,252,72,15,0,8,28,0,4,36,0,5,-1.39
롯데,최준용,3.77,143,0,0,0,7,8,15,34,147.3,67,63,628,135,27,1,19,47,10,9,151,0,8,1.8599999999999999
롯데,추재현,0.04,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,2,0,0,0,0,0,0.0
롯데,프랑코,0.76,37,0,0,27,9,8,0,1,150.0,97,90,677,147,31,2,20,75,0,20,124,1,6,-1.27
롯데,한승혁,-0.09,16,0,0,0,1,0,0,0,11.0,10,10,56,14,2,0,1,9,0,1,8,0,2,-0.21
롯데,홍민기,-0.04,1,0,0,0,0,0,0,0,0.1,1,1,3,0,0,0,0,2,0,0,0,0,0,-0.01
삼성,구준범,-0.27,1,0,0,1,0,0,0,0,2.0,5,5,12,2,0,0,2,3,0,1,1,0,0,-0.37
삼성,권오준,-0.32,17,0,0,0,0,2,0,1,16.0,18,15,72,22,3,1,3,3,0,0,10,0,0,-0.41
삼성,김대우,0.44,63,0,0,13,4,9,0,2,132.3,89,81,600,167,35,1,16,41,1,8,69,1,2,-2.24
삼성,김서준,-0.09,3,0,0,0,0,0,0,0,2.2,4,3,19,6,2,0,1,4,0,1,2,0,0,-0.02
삼성,김승현,-0.43,6,0,0,0,0,1,0,2,4.0,7,5,24,6,1,0,2,4,0,0,5,0,1,-0.26
삼성,김윤수,-0.15000000000000008,118,0,0,2,6,8,0,16,112.0,81,67,535,130,23,0,10,70,4,4,98,0,17,-2.25
삼성,노건우,0.5700000000000001,64,0,0,0,2,5,0,11,57.1,34,29,259,40,6,0,5,46,1,3,55,0,9,-1.03
삼성,라이블리,3.3400000000000003,28,0,0,28,6,8,0,0,145.1,70,68,618,121,22,1,15,52,0,17,133,0,2,0.14
삼성,몽고메리,0.21,11,0,0,11,2,5,0,0,52.0,33,31,244,46,5,1,3,38,0,4,55,0,4,-0.71
삼성,문용익,0.78,61,0,0,0,3,2,1,4,59.2,31,25,261,52,8,0,5,32,0,3,42,0,6,0.09000000000000002
삼성,박세웅,-0.1,9,0,0,0,0,0,0,0,5.2,6,5,32,6,0,1,1,8,0,2,4,0,0,-0.17
삼성,박정준,0.02,8,0,0,0,0,0,0,0,10.0,7,7,45,10,2,0,2,5,0,1,4,0,0,-0.01
삼성,박주혁,0.1,8,0,0,0,0,0,0,0,6.2,3,1,29,5,0,0,1,4,0,0,3,0,1,-0.03
삼성,백정현,5.46,62,0,0,62,22,22,0,0,340.4,173,152,1468,363,67,5,50,108,3,12,225,0,15,-0.46999999999999986
삼성,뷰캐넌,13.03,83,3,2,83,42,20,0,0,511.2,203,182,2177,521,72,8,39,148,2,17,400,0,11,5.11
삼성,수아레즈,5.28,30,0,0,29,6,8,0,0,173.2,61,48,714,151,19,0,7,50,0,4,159,0,6,2.7
삼성,심창민,-0.38,82,0,0,0,5,4,0,19,71.2,52,46,336,65,12,1,11,50,0,8,79,1,6,-0.65
삼성,양창섭,-0.48,22,0,0,6,3,4,0,1,41.3,32,32,198,51,11,1,7,23,1,1,27,0,1,-0.88
삼성,오승환,7.34,166,0,0,0,9,6,93,4,166.2,54,49,692,159,34,5,13,44,3,5,147,0,4,6.37
삼성,우규민,2.06,172,0,0,0,10,9,10,51,144.0,77,68,624,174,25,2,11,24,4,7,96,1,1,-1.0999999999999999
삼성,원태인,8.79,80,0,0,79,30,25,0,0,463.29999999999995,218,202,1981,484,89,3,46,145,6,14,337,1,14,1.9200000000000002
삼성,윤성환,-0.16,5,1,0,5,0,2,0,0,18.2,14,12,84,19,4,2,0,11,0,3,4,0,0,-0.39
삼성,이상민,0.8999999999999999,93,0,0,1,1,2,0,13,67.3,38,35,317,75,14,2,11,40,2,4,50,0,5,-0.10999999999999999
삼성,이수민,0.04,4,0,0,0,0,0,0,0,4.2,3,3,23,3,0,0,1,5,0,1,2,0,0,-0.1
삼성,이승민,-0.74,20,0,0,16,2,7,0,0,66.4,56,55,324,86,12,1,11,42,1,3,40,0,0,-1.7499999999999998
삼성,이승현,2.08,239,0,0,0,5,13,1,49,207.4,118,112,915,201,44,4,30,99,4,9,201,0,14,-0.8299999999999998
삼성,이재익,-0.62,57,0,0,0,5,2,0,7,43.3,42,37,213,60,10,0,7,23,1,1,27,0,0,-1.04
삼성,이재희,0.16,5,0,0,5,0,1,0,0,21.2,13,13,95,24,3,1,2,10,0,0,17,0,2,-0.06
삼성,임대한,-0.23,12,0,0,0,2,1,0,1,13.2,11,8,65,12,5,0,1,9,2,1,8,0,1,-0.66
삼성,임현준,0.99,78,0,0,0,2,3,0,10,36.1,15,13,161,35,4,2,2,14,1,10,26,0,1,-0.26000000000000006
삼성,장지훈,-0.98,29,0,0,0,0,1,0,0,27.2,37,31,146,39,4,0,7,21,0,3,24,0,5,-1.11
삼성,장필준,-0.1,91,0,0,3,0,6,0,6,100.2,74,70,483,130,28,2,11,58,3,4,67,0,10,-2.82
삼성,정인욱,-0.03,5,0,0,0,0,0,0,0,5.1,5,5,26,5,0,0,1,4,0,1,3,0,0,-0.01
삼성,최지광,1.2,111,0,0,0,8,4,0,29,95.2,54,52,430,87,16,2,7,58,4,5,94,0,7,-0.39
삼성,최채흥,4.9,52,2,1,46,16,15,0,2,268.1,133,120,1155,274,48,3,28,88,1,9,205,4,7,0.9500000000000001
삼성,최충연,0.18,38,0,0,0,0,1,0,0,38.1,24,20,177,39,10,1,3,20,3,5,29,0,3,-0.29
삼성,최하늘,-0.15,14,0,0,5,1,4,0,1,33.2,23,23,156,42,5,0,5,15,0,2,18,1,0,-0.32
삼성,허윤동,-0.5,24,0,0,24,6,5,0,0,103.2,75,69,490,115,25,0,13,66,0,9,57,1,2,-1.54
삼성,홍원표,0.05,1,0,0,0,0,0,0,0,1.0,0,0,6,1,0,0,0,1,0,1,0,0,1,0.0
삼성,홍정우,1.08,71,0,0,0,7,2,0,2,71.4,39,37,314,70,13,2,11,29,4,1,61,0,2,-1.18
삼성,황동재,-1.6400000000000001,17,0,0,13,1,3,0,0,67.19999999999999,66,60,328,99,22,2,10,35,0,0,56,1,1,-2.2199999999999998
키움,김동욱,-0.04,3,0,0,0,0,0,0,0,3.0,3,3,16,7,0,1,2,1,0,0,2,0,0,0.0
키움,김동혁,0.63,72,0,0,8,2,7,1,3,116.4,70,66,518,125,34,3,6,46,6,16,54,1,2,-2.04
