순위,이름,팀,WAR,타격,도루,주루,수비,Rep.Wins,Pos.Wins,WAA_투수_선발,WAA_투수_구원,Rep.wins_선발,Rep.wins_구원,WAR_투수_선발,WAR_투수_구원
124,장현식,22KP,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.69,0.00,1.27
125,이의리,22KP,1.26,0.00,0.00,0.00,0.00,0.00,0.00,-0.72,-0.07,2.03,0.02,1.31,-0.05
,김태경,22NP,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.78,-0.10,0.41,0.18,1.19,0.07
127,오태곤,22SLF,1.24,-0.96,0.05,0.14,1.16,1.23,-0.38,0.00,0.00,0.00,0.00,0.00,0.00
128,문성현,22키P,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.55,0.00,1.23
129,최원태,22키P,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-0.25,1.33,0.08,1.37,-0.17
130,김태훈,22키P,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.57,0.00,1.19
131,이정용,22LP,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.79,0.00,1.16
,박세혁,22두C,1.16,-0.98,-0.06,-0.09,-0.14,1.67,0.76,0.00,0.00,0.00,0.00,0.00,0.00
133,주권,22KP,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.68,0.00,1.14
134,홍건희,22두P,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.83,0.00,1.09
135,이원석,22삼3B,1.07,0.39,-0.02,-0.25,-0.05,1.40,-0.39,0.00,0.00,0.00,0.00,0.00,0.00
,우규민,22삼P,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.63,0.00,1.07
,브랜든,22두P,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.87,0.00,1.07,0.00
138,안권수,22두RF,1.05,0.25,-0.13,0.09,-0.10,1.11,-0.17,0.00,0.00,0.00,0.00,0.00,0.00
139,파슨스,22NP,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.57,0.00,1.04,0.00
140,윤산흠,22한P,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.45,0.00,1.03
141,라미레즈,22한P,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.87,0.00,1.02,0.00
142,양석환,22두1B,1.01,0.66,0.00,-0.08,-0.56,1.86,-0.87,0.00,0.00,0.00,0.00,0.00,0.00
143,스탁,22두P,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.20,0.00,2.20,0.00,1.00,0.00
,전상현,22KP,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.62,0.00,1.00
145,데스파이네,22KP,0.99,0.00,0.00,0.00,0.00,0.00,0.00,-1.23,0.04,2.16,0.01,0.93,0.06
146,박영현,22KP,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.69,0.00,0.97
147,이채호,22KP,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.49,0.00,0.96
148,오윤석,22K2B,0.95,-0.59,-0.02,0.07,0.11,1.40,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
149,최성훈,22LP,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.00,0.89
150,김인태,22두RF,0.88,0.31,0.00,-0.06,-0.28,1.16,-0.26,0.00,0.00,0.00,0.00,0.00,0.00
151,박정현,22한SS,0.87,-0.82,0.07,-0.06,0.72,0.92,0.03,0.00,0.00,0.00,0.00,0.00,0.00
152,김인환,22한1B,0.86,-0.02,0.02,-0.21,0.13,1.79,-0.86,0.00,0.00,0.00,0.00,0.00,0.00
,심재민,22KP,0.86,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,0.39,0.02,0.56,-0.09,0.95
,장지훈,22SP,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.73,0.00,0.86
,김도규,22롯P,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.68,0.00,0.86
156,김기환,22NCF,0.84,-0.47,0.20,0.13,0.46,0.55,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
157,강재민,22한P,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.68,0.00,0.83
158,황대인,22K1B,0.80,-0.04,-0.02,-0.15,-0.28,2.18,-0.89,0.00,0.00,0.00,0.00,0.00,0.00
,배제성,22KP,0.80,0.00,0.00,0.00,0.00,0.00,0.00,-0.82,0.20,1.31,0.12,0.49,0.32
,고영창,22KP,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.32,0.00,0.80
161,김원중,22롯P,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.57,0.00,0.79
,전의산,22S1B,0.79,0.43,-0.01,-0.04,-0.22,1.11,-0.48,0.00,0.00,0.00,0.00,0.00,0.00
163,김휘집,22키SS,0.76,-0.33,-0.02,-0.12,-0.81,1.64,0.41,0.00,0.00,0.00,0.00,0.00,0.00
164,배재준,22LP,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.01,0.20,0.21,0.51,0.22
,김민식,22KC,0.72,-0.88,-0.01,0.03,-0.04,1.11,0.51,0.00,0.00,0.00,0.00,0.00,0.00
,최민준,22SP,0.72,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,-0.05,0.04,0.87,-0.10,0.82
,이상민,22삼P,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.39,0.00,0.72
168,홍정우,22삼P,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.36,0.00,0.70
,오원석,22SP,0.70,0.00,0.00,0.00,0.00,0.00,0.00,-0.65,-0.57,1.70,0.22,1.05,-0.35
,김도영,22K3B,0.70,-0.38,0.13,-0.24,-0.02,1.06,0.15,0.00,0.00,0.00,0.00,0.00,0.00
171,최동환,22LP,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.67,0.00,0.69
,정수빈,22두CF,0.69,-0.84,-0.06,-0.04,-0.43,1.90,0.17,0.00,0.00,0.00,0.00,0.00,0.00
173,김민혁,22두1B,0.67,0.49,-0.00,0.04,-0.13,0.40,-0.13,0.00,0.00,0.00,0.00,0.00,0.00
174,김범수,22한P,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.22,0.00,0.88,0.00,0.66
175,카펜터,22한P,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.24,0.00,0.64,0.00
176,김태연,22한3B,0.63,-0.65,-0.05,-0.06,-0.31,1.93,-0.23,0.00,0.00,0.00,0.00,0.00,0.00
177,서준원,22롯P,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.02,-0.20,0.23,0.57,0.25,0.38
,김준형,22키P,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.18,0.00,0.62
179,고효준,22SP,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.52,0.00,0.61
180,이승현,22삼P,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,0.00,0.67,0.00,0.59
181,페냐,22한P,0.58,0.00,0.00,0.00,0.00,0.00,0.00,-0.32,0.00,0.90,0.00,0.58,0.00
,김기훈,22KP,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.12,0.00,0.58
,홍현빈,22KRF,0.58,-0.45,0.08,0.05,0.63,0.38,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
184,신정락,22한P,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.63,0.00,0.53
,임정호,22NP,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.33,0.00,0.53
,김호령,22KCF,0.53,-0.14,-0.01,0.03,0.25,0.37,0.03,0.00,0.00,0.00,0.00,0.00,0.00
187,김택형,22SP,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.28,0.00,0.80,0.00,0.52
188,김민혁,22KLF,0.51,-0.90,-0.29,0.17,0.41,1.81,-0.70,0.00,0.00,0.00,0.00,0.00,0.00
,양찬열,22두RF,0.51,0.14,-0.00,0.00,0.08,0.39,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
190,박상원,22한P,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.16,0.00,0.50
191,장준원,22K2B,0.49,-0.11,0.02,0.02,0.26,0.26,0.04,0.00,0.00,0.00,0.00,0.00,0.00
,박정수,22두P,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.26,0.00,0.49
193,신민혁,22NP,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-0.99,-0.11,1.52,0.05,0.54,-0.05
194,문용익,22삼P,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.50,0.00,0.47
,정우람,22한P,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.24,0.00,0.47
196,피터스,22롯CF,0.44,-0.29,-0.04,-0.01,-0.73,1.48,0.04,0.00,0.00,0.00,0.00,0.00,0.00
197,함덕주,22LP,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.17,0.00,0.42
198,지시완,22롯C,0.41,-0.78,-0.01,0.07,-0.06,0.83,0.37,0.00,0.00,0.00,0.00,0.00,0.00
,킹엄,22한P,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.22,0.00,0.41,0.00
200,김대한,22두RF,0.40,0.20,-0.01,-0.04,-0.10,0.46,-0.11,0.00,0.00,0.00,0.00,0.00,0.00
201,안승한,22두C,0.39,0.10,-0.00,-0.03,0.07,0.16,0.08,0.00,0.00,0.00,0.00,0.00,0.00
,가르시아,22L2B,0.39,-0.14,0.03,-0.01,-0.20,0.65,0.06,0.00,0.00,0.00,0.00,0.00,0.00
203,김영준,22LP,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.13,0.00,0.38,0.00
204,박민호,22SP,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.29,0.00,0.37
205,한현희,22키P,0.36,0.00,0.00,0.00,0.00,0.00,0.00,-0.53,-0.14,0.92,0.12,0.39,-0.03
206,황성빈,22롯CF,0.35,-0.22,-0.32,0.40,-0.88,1.47,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
207,박승주,22키P,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.33,0.00,0.34
208,쿠에바스,22KP,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.15,0.00,0.33,0.00
,권희동,22NCF,0.33,-0.45,-0.02,0.00,-0.16,1.17,-0.22,0.00,0.00,0.00,0.00,0.00,0.00
